party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,6.53125,5.864496527777778,7.239583333333333,0.9947916666666666,0.9895399305555557,1.0,12.17362673964876,11.202286486201176,13.10291116817811
bunt.saar,498,23.827751196172247,10.614457831325302,9.738755020080323,11.474046184738956,0.9959839357429718,0.9899598393574297,1.0,7.998669160227325,7.327379297665978,8.706885729856879
CDU,367,17.559808612440193,9.517711171662125,8.514918256130791,10.539782016348774,0.989100817438692,0.9782016348773842,0.997275204359673,7.829752640487777,6.949833922586312,8.725979674653654
Die Grünen,332,15.885167464114833,12.774096385542169,11.55715361445783,13.94284638554217,0.9819277108433735,0.9668674698795181,0.9939759036144579,7.41513389505402,6.58305842969756,8.266229906526608
SPD,191,9.138755980861243,12.989528795811518,11.507329842931938,14.638743455497382,0.9842931937172775,0.9685863874345549,1.0,10.668474762889822,9.223948092081319,11.96935008580892
DIE LINKE,126,6.028708133971292,12.952380952380953,10.880555555555556,14.873214285714287,0.9761904761904762,0.9444444444444444,1.0,5.933721631307057,4.531962633208673,7.516639725783826
