party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,0.7274305555555556,0.6892361111111112,0.7604600694444443,0.6267361111111112,0.5885416666666666,0.6649305555555556,3.6924156887150312,3.4698367672771453,3.896471255383673
bunt.saar,498,23.827751196172247,0.6767068273092369,0.6365461847389559,0.7168674698795181,0.5662650602409639,0.5261044176706827,0.6104417670682731,3.2829040200631825,3.0798772972401705,3.5021487086325385
CDU,367,17.559808612440193,0.6076294277929155,0.555858310626703,0.659400544959128,0.5013623978201635,0.44959128065395093,0.5504768392370571,2.9311417397606996,2.697964348975392,3.1862594524827434
Die Grünen,332,15.885167464114833,0.5542168674698795,0.5030120481927711,0.608433734939759,0.5481927710843374,0.49698795180722893,0.6024096385542169,3.4751559581141076,3.185172678623456,3.745094174707364
SPD,191,9.138755980861243,0.5706806282722513,0.5026178010471204,0.6387434554973822,0.4712041884816754,0.39790575916230364,0.5445026178010471,4.193881122787157,3.729416934156532,4.674643729565883
DIE LINKE,126,6.028708133971292,0.5555555555555556,0.46825396825396826,0.6428571428571429,0.30158730158730157,0.2222222222222222,0.38095238095238093,2.8624489150804937,2.535635964912282,3.2204667073088133
