party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,0.7170138888888888,0.6822916666666666,0.7552083333333334,0.6857638888888888,0.6493055555555556,0.7240017361111111,3.865131578947368,3.6372021692745373,4.089720116909673
bunt.saar,498,23.827751196172247,0.748995983935743,0.7108433734939759,0.785140562248996,0.6847389558232931,0.6445281124497992,0.7289156626506024,3.104808994155855,2.888000258502002,3.3134734885487895
CDU,367,17.559808612440193,0.6539509536784741,0.6076294277929155,0.7029972752043597,0.5122615803814714,0.46042234332425075,0.5640326975476839,2.912343363010221,2.68766157883109,3.133786303153864
Die Grünen,332,15.885167464114833,0.5542168674698795,0.5,0.6054216867469879,0.6265060240963856,0.572289156626506,0.677710843373494,3.5982836038321135,3.3217873271178595,3.904260355790158
SPD,191,9.138755980861243,0.6020942408376964,0.5287958115183246,0.6649214659685864,0.4973821989528796,0.42408376963350786,0.5654450261780105,4.6020979645945195,4.092094557357026,5.161946184266384
DIE LINKE,126,6.028708133971292,0.4444444444444444,0.35714285714285715,0.5317460317460317,0.35714285714285715,0.2777777777777778,0.4523809523809524,3.281712163291112,2.82502074442864,3.8024537695590324
