party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,0.703125,0.6666666666666666,0.7430555555555556,0.5225694444444444,0.4809027777777778,0.5642361111111112,4.845028004978663,4.550352161371898,5.1252282813240875
bunt.saar,498,23.827751196172247,0.7590361445783133,0.7208835341365462,0.7972389558232932,0.4738955823293173,0.4357429718875502,0.5160642570281124,3.990749627242969,3.7535517246796566,4.230636093449188
CDU,367,17.559808612440193,0.4032697547683924,0.3542234332425068,0.4550408719346049,0.27520435967302453,0.23160762942779292,0.31886920980926425,3.121160383099291,2.8614145390909345,3.3843643047895164
Die Grünen,332,15.885167464114833,0.5301204819277109,0.47884036144578324,0.5843373493975904,0.42168674698795183,0.3674698795180723,0.4759036144578313,3.2647303295686307,2.997587790707639,3.5770040510548604
SPD,191,9.138755980861243,0.5235602094240838,0.45536649214659697,0.5916230366492147,0.29842931937172773,0.2356020942408377,0.3612565445026178,3.2773714745332265,2.904246386094002,3.645101770273994
DIE LINKE,126,6.028708133971292,0.5,0.4126984126984127,0.5873015873015873,0.29365079365079366,0.21428571428571427,0.38095238095238093,2.652041138883245,2.257854659170449,3.0398843392264436
