party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,0.6909722222222222,0.6510416666666666,0.7274305555555556,0.4739583333333333,0.4340277777777778,0.5138888888888888,4.620605391575786,4.343181071696696,4.911468057284258
bunt.saar,498,23.827751196172247,0.7951807228915663,0.7590361445783133,0.829367469879518,0.41365461847389556,0.3734437751004016,0.4578313253012048,3.38287717013145,3.1652266962587188,3.5944239261455486
CDU,367,17.559808612440193,0.3869209809264305,0.33242506811989103,0.43869209809264303,0.2779291553133515,0.23160762942779292,0.3242506811989101,3.245772303208127,2.9913958666826876,3.4922526947569974
Die Grünen,332,15.885167464114833,0.5180722891566265,0.46679216867469886,0.5692771084337349,0.3644578313253012,0.3132530120481928,0.4186746987951807,3.4927226687689594,3.225882727210407,3.768359354916108
SPD,191,9.138755980861243,0.5340314136125655,0.4607329842931937,0.6020942408376964,0.3193717277486911,0.2513089005235602,0.38232984293193706,3.606551577755767,3.2297865170212923,4.019900221935906
DIE LINKE,126,6.028708133971292,0.5873015873015873,0.5,0.6746031746031746,0.30158730158730157,0.2222222222222222,0.3888888888888889,2.2752545778861575,1.9337441294678148,2.619389831560885
