party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top1_accuracy,top1_ci_lo,top1_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,8.02951388888889,7.298307291666666,8.793402777777779,0.9930555555555556,0.9861111111111112,0.9982638888888888,11.855190467843586,10.924846337357318,12.874527152641125
bunt.saar,498,23.827751196172247,8.67269076305221,7.949799196787149,9.466114457831326,0.9879518072289156,0.9779116465863453,0.9959839357429718,7.2897220211711025,6.674785423228995,7.914695732055203
CDU,367,17.559808612440193,6.547683923705722,5.718937329700273,7.405994550408719,0.997275204359673,0.9918256130790191,1.0,10.103705710862142,9.011590536022645,11.247696404973016
Die Grünen,332,15.885167464114833,8.370481927710843,7.319126506024097,9.46987951807229,0.9879518072289156,0.9728915662650602,0.9969879518072289,10.391170781071136,9.278880307756326,11.634240822636476
SPD,191,9.138755980861243,10.078534031413612,8.74280104712042,11.544502617801047,0.9633507853403142,0.9319371727748691,0.9895287958115183,10.731000252412827,9.34453848824457,12.123519739598906
DIE LINKE,126,6.028708133971292,9.626984126984127,7.72202380952381,11.619246031746032,0.9761904761904762,0.9444444444444444,1.0,9.508277141646298,7.72555332260595,11.393225388541413
