party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,0.6145833333333334,0.5746527777777778,0.6528211805555555,0.4809027777777778,0.44440104166666666,0.5243055555555556,4.774737731152205,4.501825015805279,5.056739253645093
bunt.saar,498,23.827751196172247,0.6285140562248996,0.5843373493975904,0.6746987951807228,0.3473895582329317,0.3032128514056225,0.3895582329317269,5.948545247847721,5.671611588601918,6.221751336783836
CDU,367,17.559808612440193,0.5967302452316077,0.547683923705722,0.6457765667574932,0.4659400544959128,0.41689373297002724,0.5204359673024523,3.236227766559045,2.99474856686602,3.491344268045473
Die Grünen,332,15.885167464114833,0.5692771084337349,0.5150602409638554,0.6175451807228916,0.3614457831325301,0.3132530120481928,0.4126506024096386,5.993140413717459,5.651778522339714,6.345389113352414
SPD,191,9.138755980861243,0.5026178010471204,0.4397905759162304,0.5706806282722513,0.3298429319371728,0.2617801047120419,0.39790575916230364,5.981098210362472,5.4133463168321265,6.57133461306443
DIE LINKE,126,6.028708133971292,0.5952380952380952,0.5158730158730159,0.6825396825396826,0.3492063492063492,0.2698412698412698,0.4287698412698411,3.0229007202691416,2.590090090090091,3.440110693400166
