party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,7.565972222222222,6.725390625,8.42717013888889,0.9878472222222222,0.9774305555555556,0.9965277777777778,12.790298401147012,11.842835752598084,13.734061202807194
bunt.saar,498,23.827751196172247,11.755020080321286,10.702761044176707,12.829718875502008,0.9919678714859438,0.9839357429718876,0.9979919678714859,8.226220674580631,7.528053105117573,8.923256175608564
CDU,367,17.559808612440193,9.989100817438691,8.899046321525885,11.038419618528609,0.9782016348773842,0.9618528610354223,0.9918256130790191,7.077217734322705,6.204092315988217,7.969516316416041
Die Grünen,332,15.885167464114833,12.593373493975903,11.373343373493976,13.900753012048192,0.9879518072289156,0.9728915662650602,0.9969879518072289,8.09946524440938,7.148321796492795,9.080413919286292
SPD,191,9.138755980861243,13.418848167539267,11.768979057591624,15.136387434554972,0.9947643979057592,0.9842931937172775,1.0,10.244065586731635,8.713307368566825,11.735113938066037
DIE LINKE,126,6.028708133971292,14.30952380952381,12.285317460317462,16.349999999999998,0.9841269841269841,0.9603174603174603,1.0,5.305320450366282,3.9418754762527803,6.919344897254824
