party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,0.7413194444444444,0.703125,0.7760850694444443,0.6684027777777778,0.6284722222222222,0.7065972222222222,3.5626395309783465,3.318417101311838,3.7957998088549063
bunt.saar,498,23.827751196172247,0.6626506024096386,0.6204819277108434,0.7048694779116466,0.606425702811245,0.568222891566265,0.6506024096385542,3.0621418818945765,2.8416091464006805,3.265761302678709
CDU,367,17.559808612440193,0.6539509536784741,0.6049046321525886,0.7030653950953678,0.4877384196185286,0.4359673024523161,0.5395095367847411,2.8873434599090713,2.645752826539433,3.1391896252340112
Die Grünen,332,15.885167464114833,0.6204819277108434,0.5632530120481928,0.6746987951807228,0.5632530120481928,0.5090361445783133,0.6145331325301204,3.57894951070284,3.293818499460146,3.8479598514970266
SPD,191,9.138755980861243,0.4973821989528796,0.42408376963350786,0.5759162303664922,0.4083769633507853,0.3403141361256545,0.47643979057591623,5.011804309131396,4.48007743552315,5.620573384075724
DIE LINKE,126,6.028708133971292,0.4444444444444444,0.35714285714285715,0.5317460317460317,0.42063492063492064,0.3412698412698413,0.5079365079365079,3.45063108221003,2.954729870848293,3.9763083101898897
