party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,9.711805555555555,8.951345486111112,10.491449652777778,0.9895833333333334,0.9809027777777778,0.9965277777777778,11.344526299480473,10.420397183865832,12.2777450335279
bunt.saar,498,23.827751196172247,10.708835341365463,9.793172690763052,11.576355421686745,0.9799196787148594,0.9658634538152611,0.9919678714859438,7.565550887080184,6.876776630453497,8.261437268026274
CDU,367,17.559808612440193,12.103542234332425,11.092370572207086,13.196321525885558,0.9918256130790191,0.9809264305177112,1.0,6.85568130553423,6.04308016900753,7.756252064127905
Die Grünen,332,15.885167464114833,11.009036144578314,9.987876506024095,12.135843373493975,0.9879518072289156,0.9759036144578314,1.0,7.712176757567861,6.848234236589686,8.570470286373403
SPD,191,9.138755980861243,13.319371727748692,11.732984293193716,14.8065445026178,0.9895287958115183,0.9738219895287958,1.0,8.784334365814733,7.341670348966508,10.17302864207065
DIE LINKE,126,6.028708133971292,12.365079365079366,10.729563492063491,14.119444444444444,0.9682539682539683,0.9365079365079365,0.9920634920634921,6.505043566885599,4.984908675399924,8.17276765828486
