party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,0.7447916666666666,0.7083333333333334,0.7795138888888888,0.6493055555555556,0.6111111111111112,0.6875434027777777,4.398158438043306,4.163020185069938,4.6415134295479685
bunt.saar,498,23.827751196172247,0.8032128514056225,0.7690763052208835,0.8373995983935743,0.5883534136546185,0.5461847389558233,0.6325301204819277,3.6088164892857337,3.3848659217238786,3.84338741880752
CDU,367,17.559808612440193,0.6021798365122616,0.5530653950953679,0.6566757493188011,0.444141689373297,0.3923705722070845,0.49591280653950953,3.4935426606873623,3.263015453428476,3.7256638540160694
Die Grünen,332,15.885167464114833,0.6837349397590361,0.6354668674698796,0.7320030120481927,0.5662650602409639,0.5120481927710844,0.6174698795180723,3.79558775643113,3.5313279255000083,4.067749929304702
SPD,191,9.138755980861243,0.5916230366492147,0.5235602094240838,0.6649214659685864,0.39790575916230364,0.3298429319371728,0.46596858638743455,5.300209275133496,4.769957940166677,5.864626078958539
DIE LINKE,126,6.028708133971292,0.47619047619047616,0.3968253968253968,0.5557539682539681,0.3333333333333333,0.25396825396825395,0.4126984126984127,3.629004944794418,3.2126981304612885,4.07238535528009
