party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
FDP,576,27.55980861244019,8.112847222222221,7.366059027777778,8.85078125,0.9913194444444444,0.9826388888888888,0.9982638888888888,11.597068399045197,10.689051338894794,12.52973729965976
bunt.saar,498,23.827751196172247,9.855421686746988,8.969829317269078,10.795381526104416,0.9819277108433735,0.9678714859437751,0.9919678714859438,7.640932193960949,6.910381496467379,8.380017787403114
CDU,367,17.559808612440193,11.942779291553133,10.814373297002726,13.103746594005449,0.9754768392370572,0.9591280653950953,0.989100817438692,6.45379876693511,5.668163446442178,7.299156313580853
Die Grünen,332,15.885167464114833,11.801204819277109,10.65926204819277,12.98840361445783,0.9728915662650602,0.9518072289156626,0.9879518072289156,7.4261087190668755,6.569483193851681,8.379861517584832
SPD,191,9.138755980861243,13.193717277486911,11.701178010471205,14.759554973821988,0.9895287958115183,0.9738219895287958,1.0,6.985026347644018,5.915048477504303,8.042129864163055
DIE LINKE,126,6.028708133971292,16.61904761904762,14.45218253968254,18.841468253968255,0.9285714285714286,0.8809523809523809,0.9761904761904762,5.363786681471982,4.197070962240698,6.619354633261708
