n_train,n_test,obs_top1,obs_top1_ci_lo,obs_top1_ci_hi,obs_top3,obs_top3_ci_lo,obs_top3_ci_hi,obs_mae,obs_mae_ci_lo,obs_mae_ci_hi,pred_top1,pred_top1_ci_lo,pred_top1_ci_hi,pred_top3,pred_top3_ci_lo,pred_top3_ci_hi,pred_mae,pred_mae_ci_lo,pred_mae_ci_hi,elapsed_s
50,2090,0.6421052631578947,0.6215191387559809,0.6607655502392344,0.4933014354066986,0.4727272727272727,0.5148325358851674,4.079487602687049,4.015865694925598,4.146059317155231,0.6688995215311004,0.647834928229665,0.6894736842105263,0.6086124401913876,0.586590909090909,0.629677033492823,3.201161688003794,3.1207325746799426,3.2884795680848313,139.58073592185974
100,2090,0.6708133971291866,0.6488038277511962,0.6913875598086124,0.49521531100478466,0.4741507177033493,0.5186722488038278,4.246044237387728,4.167054189041724,4.319630276996967,0.6889952153110048,0.6698564593301436,0.707177033492823,0.6334928229665072,0.6114832535885167,0.6526435406698565,2.8284354929091773,2.7592124121729382,2.8990143702314755,135.4624948501587
150,2090,0.6464114832535885,0.6267822966507177,0.6665071770334928,0.508133971291866,0.48708133971291867,0.5291866028708134,4.313987558447392,4.241849126890678,4.382244385533859,0.714354066985646,0.6947368421052632,0.7344497607655502,0.6397129186602871,0.6191387559808612,0.6598086124401914,2.784414198887883,2.7127799150825465,2.8575470656062762,143.9633767604828
200,2090,0.6617224880382775,0.6411363636363636,0.6813516746411483,0.5019138755980861,0.48084928229665075,0.522488038277512,4.504402412989671,4.431123356893786,4.5741438208543475,0.7114832535885167,0.6913875598086124,0.730633971291866,0.6397129186602871,0.6191387559808612,0.6593301435406699,2.698742402689771,2.633575261864736,2.7653219158153366,139.09219312667847
250,2090,0.6535885167464115,0.6339593301435407,0.6741626794258373,0.46746411483253586,0.44641148325358854,0.48805023923444973,4.489376527118909,4.4172022926351175,4.557696275191081,0.7057416267942583,0.685622009569378,0.7244138755980861,0.6368421052631579,0.615311004784689,0.6569377990430622,2.6919263761369026,2.6237593754041124,2.762274909478857,153.44727301597595
300,2090,0.6497607655502392,0.6263157894736842,0.669377990430622,0.5229665071770335,0.5014354066985646,0.5430622009569378,4.623758737332145,4.5487440191387565,4.6964075910145855,0.7210526315789474,0.7009569377990431,0.7401913875598086,0.6645933014354067,0.6435406698564593,0.6832535885167464,2.6247629208155523,2.559330412948834,2.688092697961119,160.08709597587585
400,2090,0.6325358851674641,0.6114832535885167,0.6526315789473685,0.47990430622009567,0.4598086124401914,0.5019258373205742,4.425567912410018,4.3524344785165425,4.4971500161077715,0.7148325358851675,0.6961722488038278,0.7325478468899522,0.6593301435406699,0.6377870813397128,0.6789473684210526,2.628319108582266,2.569397522522523,2.6944109929307296,153.27630996704102
500,2090,0.6607655502392344,0.6392344497607656,0.6808612440191387,0.4861244019138756,0.46555023923444977,0.5076555023923445,4.547375851046211,4.470234899814193,4.6235966316039026,0.7066985645933014,0.6870813397129186,0.7263157894736842,0.6330143540669857,0.6133971291866028,0.6511961722488038,2.8219696969696972,2.7458571759558605,2.8916541391870343,154.0724060535431
600,2090,0.6416267942583732,0.6205622009569378,0.6617224880382775,0.4779904306220096,0.45789473684210524,0.4995334928229665,4.585705543115515,4.513447827549282,4.654657017884164,0.723444976076555,0.7038157894736842,0.7425837320574162,0.6578947368421053,0.6368421052631579,0.6770334928229665,2.6337342126815813,2.5652856804172592,2.69937214427346,171.83313083648682
700,2090,0.6377990430622009,0.6172248803827751,0.659342105263158,0.47416267942583734,0.45454545454545453,0.4966626794258373,4.605132707625782,4.5233833170554085,4.675499957745457,0.722488038277512,0.7028588516746411,0.7421052631578947,0.6555023923444976,0.6363636363636364,0.676555023923445,2.6591663433768695,2.593795799387905,2.7225776164920896,172.5600609779358
