label,predictor,strategy,obs_top1_50,pred_top1_50,obs_top3_50,pred_top3_50,mean_items_top1,mean_items_top3,reached_top1,reached_top3,elapsed_s,status
ridge__entropy,ridge,entropy,0.522231370934541,0.6519143680526965,0.3334705640181144,0.4866200082338411,10.080279950596953,16.90428159736517,0.9866200082338411,0.9660354055166736,501.5197250843048,ok
ridge__uncertainty,ridge,uncertainty,0.5656648826677645,0.6560312885961301,0.37216961712638946,0.4713874022231371,9.67332235487855,16.71634417455743,0.9866200082338411,0.9582132564841499,776.0135209560394,ok
ridge__random,ridge,random,0.5736928777274598,0.6440922190201729,0.3559077809798271,0.45677233429394815,9.670234664470975,17.119596541786745,0.9862083161794978,0.9553314121037464,66.60452580451965,ok
ridge__variance_reduction,ridge,variance_reduction,0.5823384108686702,0.6315356113627008,0.2731576780568135,0.44709757101687936,8.925483738163853,17.8110333470564,0.9921778509674763,0.9582132564841499,4436.1970911026,ok
ridge__top1_change,ridge,top1_change,0.6930835734870316,0.7297241663235899,0.3987237546315356,0.5022643062988884,5.657472210786332,14.79744750926307,0.9991766158913133,0.9767393989296007,4264.658322811127,ok
ridge__top3_change,ridge,top3_change,0.6428571428571429,0.6963771099217785,0.461300946891725,0.531700288184438,8.429600658707287,12.427748044462742,0.9942363112391931,0.9942363112391931,4379.7606608867645,ok
naive_bayes__entropy,naive_bayes,entropy,0.508233841086867,0.6445039110745162,0.28447920955125566,0.5008233841086867,9.278509674763278,17.85240839851791,0.9876492383696994,0.9596541786743515,883.6668572425842,ok
naive_bayes__uncertainty,naive_bayes,uncertainty,0.5189378344997941,0.6428571428571429,0.3030053519967065,0.4981473857554549,9.333470564018114,17.95306710580486,0.9903252367229313,0.9594483326471799,899.5904548168182,ok
naive_bayes__random,naive_bayes,random,0.5736928777274598,0.5944833264717991,0.3559077809798271,0.3989296006587073,9.670234664470975,17.119596541786745,0.9862083161794978,0.9553314121037464,72.22338700294495,ok
naive_bayes__variance_reduction,naive_bayes,variance_reduction,0.6006587072869494,0.585631947303417,0.2758336764100453,0.43968711403869903,9.243721696171264,18.154178674351584,0.9940304652120214,0.9656237134623302,4450.786334991455,ok
naive_bayes__top1_change,naive_bayes,top1_change,0.7270481679703582,0.7099629477151091,0.41251543845203786,0.4623301770275834,5.798682585426102,14.784685055578427,0.9983532317826266,0.9755043227665706,4526.148659944534,ok
naive_bayes__top3_change,naive_bayes,top3_change,0.6609715932482503,0.631329765335529,0.4866200082338411,0.48085631947303414,8.441333882256073,12.167352820090573,0.9938246191848498,0.9915603128859612,4605.590970277786,ok
