party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.7512987012987012,0.7285714285714285,0.7727272727272727,0.4818181818181818,0.45517857142857143,0.5084415584415585,4.361444920655447,4.210070246254457,4.520033864606233
Die Linke Halle,814,16.75586661177439,0.8624078624078624,0.8390663390663391,0.8857800982800983,0.40540540540540543,0.37346437346437344,0.4398034398034398,4.189879456593539,3.981328594370914,4.397430960153222
Volt,630,12.968299711815561,0.6587301587301587,0.6222222222222222,0.6952380952380952,0.29365079365079366,0.25873015873015875,0.33019841269841266,3.4821569689990755,3.265331120594279,3.6807594718778933
FDP,481,9.901193906957596,0.6174636174636174,0.5738045738045738,0.659043659043659,0.367983367983368,0.32224532224532226,0.41164241164241167,3.2121765052063775,3.0024002419094886,3.427787023537379
SPD,324,6.669411280362289,0.5648148148148148,0.5092592592592593,0.6204475308641975,0.2839506172839506,0.2345679012345679,0.3333333333333333,3.5251260031961795,3.2356479286303848,3.814915518588765
dieBasis,295,6.07245780156443,0.6406779661016949,0.5864406779661017,0.6949152542372882,0.4847457627118644,0.43050847457627117,0.5423728813559322,4.182860380451817,3.8152228946162943,4.528734298526893
Grüne,278,5.722519555372582,0.6834532374100719,0.6330935251798561,0.7338129496402878,0.4172661870503597,0.36330935251798563,0.4748201438848921,4.1873471350942,3.8453582795214754,4.5195244942026465
Freie Wähler,176,3.6228900782214906,0.42045454545454547,0.3522727272727273,0.4943181818181818,0.19886363636363635,0.13636363636363635,0.26136363636363635,3.7983520302599256,3.3879735185245043,4.1688522403982935
CDU,174,3.5817208727871552,0.5229885057471264,0.4482758620689655,0.5977011494252874,0.47701149425287354,0.39655172413793105,0.5517241379310345,3.038292375860433,2.680594046859927,3.4047917586370393
MitBürger,117,2.4083985179086045,0.46153846153846156,0.36752136752136755,0.5555555555555556,0.23931623931623933,0.1623931623931624,0.3247863247863248,3.8244215875794834,3.3478582327266535,4.342523191207404
Die PARTEI,29,0.5969534787978592,0.5172413793103449,0.3448275862068966,0.6896551724137931,0.20689655172413793,0.06896551724137931,0.3448275862068966,4.448300387501841,3.3446559081767813,5.771140923137295
