party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,11.605844155844157,11.108279220779222,12.157954545454544,0.9844155844155844,0.9785551948051948,0.9902597402597403,7.564082075925502,7.154744019047802,8.025292667972034
Die Linke Halle,814,16.75586661177439,15.925061425061426,15.154606879606881,16.698341523341522,0.9594594594594594,0.9447174447174447,0.972972972972973,4.859008727560695,4.528235214644754,5.218601922503971
Volt,630,12.968299711815561,17.712698412698412,16.93801587301587,18.522579365079366,0.973015873015873,0.9587301587301588,0.9841269841269841,3.965671533291569,3.626618631322855,4.338317472641859
FDP,481,9.901193906957596,14.966735966735968,13.92889812889813,15.933471933471933,0.9708939708939709,0.9542619542619543,0.9854469854469855,5.703744757239538,4.996466056100126,6.392680844952791
SPD,324,6.669411280362289,17.60185185185185,16.41658950617284,18.790123456790123,0.9598765432098766,0.9351851851851852,0.9814814814814815,3.7520931541678615,3.3356423757090057,4.212419704521257
dieBasis,295,6.07245780156443,12.257627118644068,11.057627118644067,13.51872881355932,0.9966101694915255,0.9898305084745763,1.0,6.170528237204149,5.3413646784607005,7.088738995472865
Grüne,278,5.722519555372582,16.20863309352518,15.00998201438849,17.421762589928058,0.9856115107913669,0.9712230215827338,0.9964028776978417,4.496086767076625,3.9891731126233374,5.009409225391667
Freie Wähler,176,3.6228900782214906,20.892045454545453,19.363494318181818,22.358522727272728,0.9829545454545454,0.9602272727272727,1.0,3.4251127548189753,2.766112472740734,4.1423396923416185
CDU,174,3.5817208727871552,13.155172413793103,11.597413793103449,14.827586206896552,0.9827586206896551,0.9597701149425287,1.0,8.178060691423761,6.734222519174158,9.722598653449483
MitBürger,117,2.4083985179086045,19.39316239316239,17.42713675213675,21.17991452991453,0.9487179487179487,0.905982905982906,0.9829059829059829,4.519501236182769,3.5738455113346483,5.660853538242026
Die PARTEI,29,0.5969534787978592,19.655172413793103,15.482758620689655,23.862068965517242,0.9655172413793104,0.896551724137931,1.0,6.873636274507397,3.957760637921024,10.80173356514647
