party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top1_accuracy,top1_ci_lo,top1_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,3.140909090909091,2.954512987012987,3.322077922077922,0.9993506493506493,0.9980519480519481,1.0,15.678325246593934,15.122171951775153,16.245866697090133
Die Linke Halle,814,16.75586661177439,3.9176904176904177,3.578562653562654,4.290018427518427,0.9987714987714987,0.9963144963144963,1.0,11.8906540326118,11.257378806294994,12.505812700874838
Volt,630,12.968299711815561,6.568253968253968,6.128531746031746,7.011150793650794,1.0,1.0,1.0,9.34951946888994,8.777138702324216,9.966308706545101
FDP,481,9.901193906957596,6.372141372141372,5.816632016632018,6.979261954261954,0.997920997920998,0.9937629937629938,1.0,8.460016891624862,7.819924093385805,9.208528712815236
SPD,324,6.669411280362289,8.944444444444445,8.13263888888889,9.713040123456791,0.9969135802469136,0.9907407407407407,1.0,6.990447814486771,6.310736707472621,7.723119433956243
dieBasis,295,6.07245780156443,7.8,6.989661016949153,8.657966101694916,1.0,1.0,1.0,8.77129769203257,7.875015678485414,9.763993003520943
Grüne,278,5.722519555372582,8.715827338129497,7.802068345323741,9.651079136690647,0.9964028776978417,0.9892086330935251,1.0,7.273945698136268,6.439340938755611,8.083154325964662
Freie Wähler,176,3.6228900782214906,10.301136363636363,8.74346590909091,11.869460227272727,0.9943181818181818,0.9829545454545454,1.0,8.659786775434084,7.4119193291596694,9.987743174005512
CDU,174,3.5817208727871552,11.735632183908047,10.332614942528737,13.224856321839079,1.0,1.0,1.0,6.551178220207684,5.513909974400309,7.598733916435139
MitBürger,117,2.4083985179086045,10.581196581196581,9.042521367521367,12.214102564102562,0.9914529914529915,0.9743589743589743,1.0,7.274425238209101,5.854467659264521,8.71646859662995
Die PARTEI,29,0.5969534787978592,7.793103448275862,4.724137931034483,11.137931034482758,0.9655172413793104,0.896551724137931,1.0,13.381682584268791,9.572936208712076,17.19819172944173
