party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top1_accuracy,top1_ci_lo,top1_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,5.306493506493506,4.946688311688312,5.6904545454545445,0.9935064935064936,0.9896103896103896,0.9974025974025974,15.095001448301963,14.532868775241274,15.647823409290961
Die Linke Halle,814,16.75586661177439,5.273955773955774,4.807063882063883,5.735964373464373,0.9975429975429976,0.9938574938574939,1.0,11.64638944458931,11.047891269422076,12.311799496048973
Volt,630,12.968299711815561,11.263492063492064,10.547539682539682,11.946071428571429,0.9936507936507937,0.9857142857142858,0.9984126984126984,6.035696166727416,5.570764551202404,6.510086485457844
FDP,481,9.901193906957596,9.964656964656964,9.072349272349273,10.785862785862786,0.997920997920998,0.9937629937629938,1.0,8.191595939961745,7.4629182311034725,8.949220518130481
SPD,324,6.669411280362289,13.839506172839506,12.796141975308641,14.910725308641975,1.0,1.0,1.0,5.957511819358,5.2549271280392995,6.698222198015686
dieBasis,295,6.07245780156443,8.776271186440677,7.786186440677966,9.833898305084746,0.9864406779661017,0.9694915254237289,0.9966101694915255,10.917758777106641,9.796138775298187,12.153967504562472
Grüne,278,5.722519555372582,13.136690647482014,11.945323741007195,14.295053956834533,0.9928057553956835,0.9820143884892086,1.0,6.066014067452933,5.3715303341744045,6.810960188668974
Freie Wähler,176,3.6228900782214906,12.210227272727273,10.499431818181819,13.938068181818181,0.9829545454545454,0.9602272727272727,1.0,8.281851527827758,6.993710543729987,9.665062356805748
CDU,174,3.5817208727871552,10.551724137931034,8.95330459770115,12.040517241379309,0.9827586206896551,0.9597701149425287,1.0,8.407778058287905,7.236245766722707,9.645993980029633
MitBürger,117,2.4083985179086045,13.803418803418804,11.768162393162395,15.753418803418803,0.9914529914529915,0.9743589743589743,1.0,6.067163539072647,4.798528802382331,7.558288874626962
Die PARTEI,29,0.5969534787978592,11.344827586206897,8.068103448275863,14.931034482758621,1.0,1.0,1.0,8.073261068950723,5.235989929416656,11.207356504231504
