party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top1_accuracy,top1_ci_lo,top1_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,8.72922077922078,8.210827922077922,9.233198051948053,0.9876623376623377,0.9818181818181818,0.9928571428571429,14.785253348595605,14.177001098974513,15.361487987379727
Die Linke Halle,814,16.75586661177439,4.742014742014742,4.229699017199017,5.237407862407862,1.0,1.0,1.0,13.04294864908272,12.448911436150823,13.657578364637148
Volt,630,12.968299711815561,12.357142857142858,11.504444444444445,13.192380952380951,0.9825396825396825,0.9714285714285714,0.9920634920634921,7.141896208433284,6.664741624649599,7.687192798005868
FDP,481,9.901193906957596,9.076923076923077,8.276403326403326,9.962629937629936,0.9833679833679834,0.9708939708939709,0.9937629937629938,7.377898479993814,6.66409001038134,8.05565406628964
SPD,324,6.669411280362289,13.320987654320987,12.26820987654321,14.426466049382714,0.9907407407407407,0.9783950617283951,1.0,6.349496920552903,5.668754571720607,7.069627617786965
dieBasis,295,6.07245780156443,11.827118644067797,10.721949152542374,12.88135593220339,0.9932203389830508,0.9830508474576272,1.0,8.129005273146113,7.248923233263033,8.987636276699678
Grüne,278,5.722519555372582,10.751798561151078,9.801978417266188,11.784442446043165,0.9964028776978417,0.9892086330935251,1.0,7.515970501045444,6.65653966742742,8.44153964103607
Freie Wähler,176,3.6228900782214906,9.085227272727273,7.869176136363636,10.380965909090909,0.9943181818181818,0.9829545454545454,1.0,9.039512430027587,7.850628100636535,10.287773121033899
CDU,174,3.5817208727871552,10.85632183908046,9.470258620689656,12.29956896551724,0.9885057471264368,0.9712643678160919,1.0,6.844248391878717,5.759851886250348,7.949124578491355
MitBürger,117,2.4083985179086045,11.743589743589743,10.384615384615385,13.273504273504274,1.0,1.0,1.0,5.736154295772494,4.762777947117431,6.8949158441613685
Die PARTEI,29,0.5969534787978592,8.0,5.137068965517242,11.485344827586204,1.0,1.0,1.0,11.656693919624955,8.348651960784313,15.192494472159785
