party,n_persons,pct_persons,mean_items_asked,items_ci_lo,items_ci_hi,top1_accuracy,top1_ci_lo,top1_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,6.298051948051948,5.862970779220779,6.751314935064935,0.9941558441558441,0.9902597402597403,0.9980519480519481,14.99017449584292,14.377952660772372,15.596098859754106
Die Linke Halle,814,16.75586661177439,5.914004914004914,5.4188574938574945,6.516062653562654,0.9926289926289926,0.986455773955774,0.9975429975429976,11.513892319835213,10.871044778170013,12.107047014291002
Volt,630,12.968299711815561,15.5,14.658690476190475,16.296904761904763,0.9777777777777777,0.9650793650793651,0.9888888888888889,5.194497021802914,4.72843032652405,5.646561987586625
FDP,481,9.901193906957596,11.405405405405405,10.471777546777547,12.380561330561331,0.9812889812889813,0.9688149688149689,0.9916839916839917,7.319305761687403,6.547188986590091,8.103859805778189
SPD,324,6.669411280362289,13.521604938271604,12.440586419753087,14.518827160493828,0.9814814814814815,0.9660493827160493,0.9938271604938271,6.4508029574552115,5.722274341649489,7.15940565997872
dieBasis,295,6.07245780156443,9.247457627118644,8.199830508474577,10.328983050847459,0.9796610169491525,0.9627118644067797,0.9932203389830508,9.321787000315785,8.285212562487946,10.39875746725492
Grüne,278,5.722519555372582,14.651079136690647,13.356025179856115,15.985971223021583,0.9748201438848921,0.9532374100719424,0.9928057553956835,5.798820794354193,5.089512653681152,6.527121570333948
Freie Wähler,176,3.6228900782214906,12.965909090909092,11.215909090909092,14.767329545454546,0.9715909090909091,0.9431818181818182,0.9943181818181818,8.898945499612815,7.475174348838621,10.311133201959025
CDU,174,3.5817208727871552,11.160919540229886,9.52844827586207,12.919683908045977,0.9827586206896551,0.9597701149425287,1.0,8.390943385639188,6.995847128514286,9.732870971205598
MitBürger,117,2.4083985179086045,12.333333333333334,10.529700854700854,14.136965811965812,0.9914529914529915,0.9743589743589743,1.0,6.808205191340307,5.673909358586077,8.217065592555407
Die PARTEI,29,0.5969534787978592,12.586206896551724,8.343965517241381,17.65603448275862,0.9655172413793104,0.896551724137931,1.0,12.38677678801367,8.06344271964587,17.046216920373592
