party,n_persons,pct_persons,top1_accuracy,top1_ci_lo,top1_ci_hi,top3_accuracy,top3_ci_lo,top3_ci_hi,mean_mae,mae_ci_lo,mae_ci_hi
AfD,1540,31.70028818443804,0.4051948051948052,0.38181818181818183,0.4305357142857143,0.34545454545454546,0.3220779220779221,0.36819805194805194,8.203663335242283,7.961213017956439,8.435609043339307
Die Linke Halle,814,16.75586661177439,0.6683046683046683,0.6363636363636364,0.6978194103194103,0.29115479115479115,0.2616707616707617,0.32555282555282555,8.336726419941215,8.087978403367806,8.607637262731501
Volt,630,12.968299711815561,0.4793650793650794,0.4396825396825397,0.5190476190476191,0.2634920634920635,0.22857142857142856,0.2984523809523809,4.31797398902662,4.0695269988033145,4.572764258619521
FDP,481,9.901193906957596,0.5758835758835759,0.5322245322245323,0.6237006237006237,0.2806652806652807,0.2390852390852391,0.3202182952182952,3.4256217044268253,3.197256781894051,3.6587932102690273
SPD,324,6.669411280362289,0.4228395061728395,0.36419753086419754,0.47530864197530864,0.19753086419753085,0.15432098765432098,0.23765432098765432,3.637738615808791,3.345679835537291,3.9477004416697397
dieBasis,295,6.07245780156443,0.5016949152542373,0.4440677966101695,0.5560169491525423,0.3694915254237288,0.31864406779661014,0.423728813559322,5.498890951611737,5.090872652313332,5.892758335945223
Grüne,278,5.722519555372582,0.7014388489208633,0.6438848920863309,0.7553956834532374,0.2589928057553957,0.21214028776978427,0.31654676258992803,4.523266166583092,4.16978845799605,4.864052570177144
Freie Wähler,176,3.6228900782214906,0.6306818181818182,0.5625,0.7045454545454546,0.23863636363636365,0.18181818181818182,0.30113636363636365,4.006267780938834,3.6208507775119627,4.420543450148713
CDU,174,3.5817208727871552,0.5344827586206896,0.45977011494252873,0.6091954022988506,0.39655172413793105,0.3218390804597701,0.46551724137931033,3.2581015679926755,2.9480106808260174,3.5910777497097826
MitBürger,117,2.4083985179086045,0.5982905982905983,0.5042735042735043,0.6837606837606838,0.28205128205128205,0.19658119658119658,0.36752136752136755,4.205723942566047,3.6115252398147124,4.805465890992206
Die PARTEI,29,0.5969534787978592,0.6896551724137931,0.5172413793103449,0.8620689655172413,0.4482758620689655,0.27586206896551724,0.6206896551724138,3.4556334919311316,2.6575145926325576,4.354567248736939
