person_id,true_best_party,n_items_total,n_items_asked_50,obs_top1_50,obs_top3_50,pred_top1_50,pred_top3_50,n_items_top1,top1_reached,n_items_top3,top3_reached,obs_mae_50_CDU,obs_mae_50_DIE LINKE,obs_mae_50_Die Grünen,obs_mae_50_FDP,obs_mae_50_SPD,obs_mae_50_bunt.saar,pred_mae_50_CDU,pred_mae_50_DIE LINKE,pred_mae_50_Die Grünen,pred_mae_50_FDP,pred_mae_50_SPD,pred_mae_50_bunt.saar
118,CDU,37,19,False,False,True,False,1,True,29,True,2.418207681365587,4.569701280227605,8.143669985775247,0.32005689900426404,13.40682788051209,7.325746799431009,0.6756756756756914,1.3513513513513473,1.689189189189186,1.0135135135135158,3.378378378378372,0.0
1588,FDP,37,19,False,False,True,False,11,True,6,True,4.445234708392597,10.27738264580369,5.334281650071119,7.254623044096725,10.02844950213371,11.041963015647227,3.7162162162162176,2.0270270270270245,2.7027027027027017,0.6756756756756701,2.364864864864863,1.689189189189186
919,SPD,37,19,False,False,False,False,1,True,36,True,6.454480796586061,4.19630156472261,2.6849217638691343,2.8271692745377024,0.017780938833574567,3.236130867709818,7.770270270270274,1.689189189189186,1.689189189189193,1.3513513513513473,2.0270270270270245,5.067567567567565
2723,CDU,37,19,True,False,False,False,1,True,32,True,1.3335704125177799,5.138691322901856,6.1877667140825,4.19630156472261,2.2226173541963092,1.0312944523470833,1.0135135135135087,6.081081081081088,5.067567567567565,2.364864864864863,4.054054054054056,1.3513513513513473
2630,CDU,37,19,True,False,True,False,1,True,13,True,5.867709815078236,4.676386913229017,1.5825035561877598,4.729729729729726,4.658605974395449,5.067567567567565,1.013513513513523,5.743243243243242,0.6756756756756843,1.0135135135135087,1.689189189189193,4.391891891891888
1106,FDP,37,19,True,False,True,False,5,True,10,True,3.662873399715508,10.650782361308686,10.295163584637265,5.1209103840682815,6.934566145092475,11.36201991465149,1.6891891891891788,3.7162162162162176,2.0270270270270316,1.3513513513513544,7.105427357601002e-15,1.3513513513513544
4764,FDP,37,19,True,True,True,True,4,True,4,True,5.565433854907539,7.539118065433861,8.07254623044097,7.076813655761022,5.974395448079662,9.761735419630163,0.6756756756756701,0.3378378378378386,1.3513513513513473,3.378378378378386,3.378378378378372,0.3378378378378457
3782,DIE LINKE,37,19,True,True,False,False,3,True,10,True,2.5248933143669916,2.258179231863444,2.258179231863444,1.9203413940255984,1.5647226173541924,7.0590327169274545,8.108108108108105,0.6756756756756843,3.378378378378379,5.067567567567572,2.364864864864863,8.108108108108105
2758,Die Grünen,37,19,False,True,False,True,3,True,3,True,5.689900426742533,4.658605974395449,7.0945945945945965,0.9779516358463738,0.2489331436700013,8.07254623044097,4.391891891891895,4.391891891891902,2.0270270270270316,3.0405405405405403,2.702702702702709,3.0405405405405475
1618,Die Grünen,37,19,False,False,False,False,20,True,16,True,3.0049786628733983,1.3157894736842124,0.6223328591749677,8.481507823613093,2.951635846372696,1.795874822190612,3.378378378378379,2.0270270270270316,4.729729729729726,6.418918918918926,2.3648648648648702,0.3378378378378457
4886,SPD,37,19,False,False,False,True,5,True,16,True,3.0761024182076824,5.5832147937411065,5.796586059743959,3.1294452347083777,0.8001422475106637,6.169985775248932,3.7162162162162105,5.4054054054054035,6.418918918918919,5.405405405405411,1.689189189189193,6.081081081081095
3260,Die Grünen,37,19,True,True,True,True,3,True,19,True,0.426742532005683,0.3911806543385552,0.03556187766713492,1.8136557610241795,1.1201991465149348,0.6756756756756772,0.3378378378378386,1.013513513513523,0.0,3.0405405405405475,0.0,1.689189189189186
3339,CDU,37,19,True,False,True,False,4,True,25,True,5.565433854907546,1.9914651493598896,1.724751066856328,4.996443812233295,1.973684210526315,5.280938833570417,2.7027027027027017,0.3378378378378315,2.0270270270270245,0.6756756756756701,2.0270270270270316,1.3513513513513544
2972,DIE LINKE,37,19,True,False,False,False,3,True,28,True,7.325746799431009,4.889758179231862,3.9651493598862118,7.325746799431009,7.005689900426752,4.018492176386907,6.756756756756751,1.0135135135135016,2.0270270270270174,2.0270270270270316,0.3378378378378386,4.054054054054063
989,FDP,37,19,True,True,True,True,5,True,11,True,5.4765291607396875,3.911806543385495,6.152204836415358,4.783072546230443,9.28165007112375,12.268847795163587,5.067567567567572,2.7027027027027017,1.0135135135135158,2.702702702702709,1.0135135135135158,1.689189189189186
