person_id,true_best_party,n_items_total,n_items_asked_50,obs_top1_50,obs_top3_50,pred_top1_50,pred_top3_50,n_items_top1,top1_reached,n_items_top3,top3_reached,obs_mae_50_CDU,obs_mae_50_DIE LINKE,obs_mae_50_Die Grünen,obs_mae_50_FDP,obs_mae_50_SPD,obs_mae_50_bunt.saar,pred_mae_50_CDU,pred_mae_50_DIE LINKE,pred_mae_50_Die Grünen,pred_mae_50_FDP,pred_mae_50_SPD,pred_mae_50_bunt.saar
118,CDU,37,19,True,False,False,False,1,True,18,True,1.1024182076813673,0.6223328591749677,1.724751066856328,8.214793741109531,1.724751066856328,5.832147937411094,10.47297297297299,6.756756756756751,16.216216216216218,3.378378378378372,15.54054054054054,13.513513513513516
1588,FDP,37,19,True,False,True,False,4,True,6,True,0.16002844950213557,1.0668563300142253,0.07112375533427695,1.3335704125177799,7.076813655761029,10.010668563300136,2.7027027027026946,1.689189189189193,15.540540540540544,0.3378378378378315,11.486486486486484,14.86486486486486
919,SPD,37,19,True,False,True,True,10,True,21,True,6.045519203413939,1.0668563300142253,2.578236130867701,9.014935988620195,5.903271692745378,2.6849217638691343,0.0,6.756756756756751,9.121621621621628,4.391891891891888,11.486486486486484,10.472972972972968
2723,CDU,37,19,True,True,True,False,5,True,9,True,1.9559032716927405,5.387624466571836,9.601706970128028,3.69843527738265,6.827880512091042,9.495021337126602,0.0,1.689189189189186,4.054054054054056,3.7162162162162176,8.445945945945951,9.121621621621628
2630,CDU,37,19,True,True,False,False,1,True,1,True,0.604551920341386,7.1657183499288735,5.529871977240397,1.4402560455191917,4.000711237553347,2.1692745376955926,2.7027027027026946,10.810810810810814,15.878378378378386,8.108108108108112,15.202702702702702,17.229729729729733
1106,FDP,37,19,True,True,True,False,1,True,3,True,3.5739687055476566,5.796586059743952,6.152204836415358,0.5156472261735416,0.9601706970127921,7.0590327169274545,6.418918918918919,4.729729729729726,16.89189189189189,3.7162162162162247,12.837837837837824,16.554054054054053
4764,FDP,37,19,True,True,True,True,4,True,4,True,5.565433854907539,1.6714082503556185,3.769559032716927,1.1557610241820697,9.157183499288756,6.027738264580364,5.743243243243249,6.081081081081074,16.891891891891895,0.3378378378378386,13.851351351351347,15.202702702702702
3782,DIE LINKE,37,19,True,True,True,True,8,True,9,True,1.2091038406827934,2.258179231863444,1.6002844950213415,0.053342816500716594,4.854196301564727,2.4537695590327075,5.743243243243249,1.3513513513513473,6.756756756756751,8.10810810810812,5.743243243243235,4.054054054054063
2758,Die Grünen,37,19,False,False,True,True,24,True,1,True,2.86273115220483,4.658605974395449,8.410384068278809,3.627311522048366,10.9352773826458,5.4409672830725455,4.054054054054056,3.7162162162162105,2.702702702702709,0.6756756756756772,3.378378378378386,2.3648648648648702
1618,Die Grünen,37,19,False,True,False,True,8,True,3,True,3.5739687055476637,1.973684210526315,0.03556187766713492,7.165718349928888,4.925320056899011,4.12517780938834,2.0270270270270316,0.6756756756756772,1.013513513513523,5.067567567567579,2.364864864864856,2.7027027027027017
4886,SPD,37,19,False,True,False,True,27,True,2,True,2.187055476529153,6.258890469416791,0.12446657183498644,4.107396870554773,3.4317211948790884,2.3826458036984306,5.405405405405411,3.0405405405405332,6.756756756756758,7.770270270270274,4.391891891891902,10.135135135135144
3260,Die Grünen,37,19,True,False,True,False,1,True,29,True,1.546941678520632,7.503556187766712,5.298719772403977,1.1557610241820626,5.45874822190612,5.245376955903275,0.6756756756756772,1.013513513513523,1.3513513513513473,3.0405405405405332,4.391891891891888,1.0135135135135158
3339,CDU,37,19,True,False,False,False,4,True,7,True,2.9871977240398238,1.9559032716927405,2.880512091038412,6.1877667140825,1.973684210526315,1.2980085348506378,3.7162162162162033,0.3378378378378386,2.7027027027027017,3.7162162162162176,1.0135135135135087,0.3378378378378315
2972,DIE LINKE,37,19,False,False,False,True,13,True,31,True,2.0625889046941666,3.662873399715508,4.587482219061172,1.2268847795163538,2.86273115220483,3.876244665718353,0.6756756756756843,2.7027027027027017,0.6756756756756772,0.6756756756756772,2.3648648648648702,2.0270270270270174
989,FDP,37,19,True,True,True,False,1,True,4,True,3.733997155049792,1.9381223328591801,1.7425320056899025,3.769559032716927,4.018492176386914,6.152204836415358,6.081081081081074,5.067567567567565,14.86486486486487,4.729729729729726,17.56756756756757,13.513513513513512
2141,SPD,37,19,False,False,False,False,8,True,33,True,0.17780938833571014,7.859174964438118,4.9075391180654435,5.672119487908965,1.689189189189193,5.8321479374110865,7.432432432432435,3.378378378378379,5.4054054054054035,8.783783783783782,3.0405405405405403,3.0405405405405332
2948,SPD,37,19,True,True,True,True,2,True,4,True,1.1557610241820626,2.489331436699864,2.258179231863437,8.445945945945951,5.174253200568998,1.653627311522051,2.0270270270270174,2.364864864864863,7.770270270270274,3.378378378378386,8.445945945945951,10.472972972972968
2322,Die Grünen,37,19,True,True,True,False,12,True,14,True,6.7389758179231976,0.17780938833571014,2.951635846372696,3.5028449502133725,4.605263157894733,0.6223328591749677,0.3378378378378244,6.756756756756751,6.756756756756758,0.6756756756756701,0.6756756756756772,3.0405405405405403
2073,CDU,37,19,True,False,False,True,1,True,1,True,3.271692745376953,5.849928876244675,5.156472261735409,3.9651493598862118,2.8271692745377024,3.3250355618776624,0.6756756756756772,9.121621621621628,17.567567567567565,3.7162162162162247,16.554054054054056,13.851351351351347
1802,Die Grünen,37,19,True,True,True,True,17,True,2,True,1.3869132290184822,5.778805120910384,0.1422475106685539,0.1955903271692776,3.449502133712656,4.018492176386907,1.0135135135135087,3.7162162162162176,2.702702702702709,0.6756756756756772,0.0,6.4189189189189335
2079,Die Grünen,37,19,True,True,False,True,5,True,6,True,4.783072546230443,6.952347083926043,3.236130867709818,6.347795163584642,4.711948790896166,0.4978662873399742,4.054054054054063,4.054054054054049,3.0405405405405475,8.445945945945951,11.48648648648647,9.459459459459453
166,FDP,37,19,True,True,True,True,1,True,13,True,6.454480796586061,7.930298719772395,0.8001422475106708,3.805120910384062,7.0590327169274545,2.507112375533424,3.378378378378379,1.0135135135135087,3.7162162162162176,0.6756756756756772,6.418918918918919,5.067567567567572
703,DIE LINKE,37,19,False,False,False,False,26,True,36,True,3.342816500711244,9.921763869132299,8.801564722617357,12.588904694167844,14.153627311522051,10.864153627311524,2.7027027027026946,21.959459459459467,22.2972972972973,9.45945945945946,24.66216216216216,19.93243243243243
3381,Die Grünen,37,19,True,True,True,True,3,True,12,True,0.8179231863442382,5.583214793741114,4.231863442389752,4.711948790896152,6.365576102418217,1.4758179231863409,0.6756756756756843,3.7162162162162105,2.702702702702709,0.3378378378378315,3.378378378378372,4.391891891891888
3041,SPD,37,19,False,False,False,False,37,False,2,True,0.1955903271692847,1.2091038406827934,4.854196301564727,3.413940256045514,5.4054054054054035,7.752489331436706,5.067567567567565,9.121621621621621,17.905405405405407,0.3378378378378386,18.91891891891892,17.905405405405407
1336,bunt.saar,37,19,True,False,True,False,17,True,31,True,2.2403982930298625,2.489331436699864,5.4409672830725455,8.036984352773828,2.578236130867701,3.4672830725462234,2.0270270270270245,6.756756756756751,8.445945945945937,0.3378378378378386,8.445945945945951,6.756756756756758
4555,bunt.saar,37,19,True,True,True,True,18,True,1,True,6.009957325746804,7.21906116642959,1.369132290184936,1.689189189189186,1.8669985775248819,0.21337126600283796,1.0135135135135087,1.0135135135135158,0.0,3.0405405405405332,2.0270270270270316,2.0270270270270174
4307,FDP,37,19,True,True,True,True,5,True,1,True,0.9246088193456643,1.5291607396870575,5.1031294452347105,5.067567567567565,2.258179231863444,4.42745376955904,5.405405405405411,1.3513513513513544,11.14864864864865,2.3648648648648702,8.445945945945951,11.82432432432433
