person_id,true_best_party,n_items_total,n_items_asked_50,obs_top1_50,obs_top3_50,pred_top1_50,pred_top3_50,n_items_top1,top1_reached,n_items_top3,top3_reached,obs_mae_50_CDU,obs_mae_50_DIE LINKE,obs_mae_50_Die Grünen,obs_mae_50_FDP,obs_mae_50_SPD,obs_mae_50_bunt.saar,pred_mae_50_CDU,pred_mae_50_DIE LINKE,pred_mae_50_Die Grünen,pred_mae_50_FDP,pred_mae_50_SPD,pred_mae_50_bunt.saar
118,CDU,37,19,True,False,False,True,1,True,17,True,3.0761024182076895,5.2275960170697005,8.801564722617357,3.6095305832147915,6.827880512091042,8.641536273115229,3.0405405405405546,6.756756756756751,7.094594594594589,3.7162162162162105,10.135135135135137,8.783783783783782
1588,FDP,37,19,False,False,True,False,23,True,20,True,0.8179231863442382,8.30369843527739,5.992176386913236,8.570412517780944,6.738975817923183,11.041963015647227,0.6756756756756843,0.3378378378378386,5.743243243243249,0.6756756756756772,3.7162162162162176,6.418918918918919
919,SPD,37,19,True,False,True,True,1,True,7,True,2.0981507823613086,1.0668563300142253,1.9203413940255984,7.04125177809388,1.2980085348506378,1.369132290184929,1.689189189189186,1.689189189189186,3.378378378378379,1.3513513513513473,2.0270270270270174,0.0
2723,CDU,37,19,True,False,True,False,1,True,22,True,3.307254623044102,8.019203413940254,1.0490753911806578,4.19630156472261,0.2489331436699942,8.179231863442396,3.0405405405405475,11.148648648648646,5.743243243243249,11.148648648648653,10.472972972972975,18.58108108108108
2630,CDU,37,19,True,False,True,False,1,True,17,True,1.9203413940255984,2.7027027027027017,2.3648648648648702,0.12446657183499354,1.3691322901849219,1.511379800853483,2.0270270270270316,2.364864864864863,7.770270270270274,7.0945945945945965,1.689189189189186,7.770270270270274
1106,FDP,37,19,True,False,True,True,3,True,2,True,6.952347083926043,3.413940256045521,15.558321479374115,0.5156472261735416,12.19772403982931,13.335704125177806,3.0405405405405403,4.054054054054049,2.364864864864863,3.0405405405405332,2.7027027027026946,4.729729729729726
4764,FDP,37,19,True,True,True,True,5,True,9,True,4.249644381223341,4.9075391180654435,6.098862019914648,8.392603129445234,5.316500711237566,8.445945945945951,0.3378378378378315,3.378378378378372,10.472972972972975,2.702702702702709,10.472972972972968,9.121621621621614
3782,DIE LINKE,37,19,True,False,False,True,2,True,3,True,2.5248933143669916,0.2844950213371291,8.17923186344239,9.921763869132299,4.196301564722617,0.17780938833571014,6.081081081081074,0.6756756756756772,5.4054054054054035,8.445945945945944,5.743243243243235,6.756756756756758
2758,Die Grünen,37,19,False,False,False,True,7,True,35,True,2.86273115220483,2.0270270270270316,9.726173541963014,3.6095305832147915,6.987908961593163,6.756756756756758,2.7027027027027017,0.0,3.7162162162162105,3.0405405405405403,6.081081081081095,6.756756756756758
1618,Die Grünen,37,19,False,False,True,False,21,True,8,True,0.37339971550497353,1.3157894736842124,3.982930298719765,4.67638691322901,3.627311522048373,4.12517780938834,3.7162162162162176,0.6756756756756772,8.10810810810812,4.391891891891881,5.743243243243242,8.108108108108112
4886,SPD,37,19,True,False,False,True,19,True,29,True,0.8712660028449548,1.6358463726884764,1.4402560455191917,1.475817923186355,0.5156472261735416,1.7247510668563208,7.432432432432428,6.418918918918919,5.743243243243242,6.756756756756765,4.391891891891902,8.78378378378379
3260,Die Grünen,37,19,False,False,True,False,3,True,27,True,2.2048364153627347,2.8982930298719793,6.614509246088197,4.445234708392597,9.40611664295875,3.9295874822190555,3.7162162162162176,2.0270270270270316,7.094594594594589,4.391891891891902,8.108108108108098,9.121621621621614
3339,CDU,37,19,False,False,False,False,29,True,24,True,5.618776671408241,1.3335704125177799,3.5384068278805074,1.0490753911806578,7.23684210526315,5.903271692745371,3.0405405405405403,0.3378378378378315,5.743243243243235,2.364864864864856,3.378378378378372,1.689189189189186
2972,DIE LINKE,37,19,False,False,False,False,8,True,32,True,4.516358463726888,6.952347083926043,9.850640113798008,3.378378378378379,8.12588904694168,9.139402560455203,4.391891891891895,2.7027027027027017,4.391891891891888,2.0270270270270245,3.378378378378379,3.378378378378372
989,FDP,37,19,True,False,True,True,5,True,27,True,6.792318634423893,2.5960170697012828,17.994310099573248,2.809388335704128,9.28165007112375,13.584637268847793,2.702702702702709,1.3513513513513473,1.3513513513513544,2.702702702702709,2.7027027027027017,2.7027027027027017
2141,SPD,37,19,False,False,True,True,3,True,1,True,2.809388335704128,1.2802275960170704,2.275960170697026,1.5647226173541924,6.294452347083926,8.463726884779518,0.6756756756756772,1.3513513513513473,4.054054054054042,0.3378378378378386,1.6891891891891788,2.3648648648648702
2948,SPD,37,19,False,False,True,True,26,True,32,True,3.44950213371267,0.1422475106685539,8.926031294452343,6.027738264580364,7.983641536273105,8.232574679943106,2.7027027027026946,5.743243243243242,6.756756756756744,1.689189189189193,9.121621621621628,9.121621621621628
2322,Die Grünen,37,19,False,False,True,False,5,True,23,True,3.44950213371267,2.151493598862025,6.258890469416791,2.4182076813655797,9.868421052631582,7.859174964438118,2.364864864864856,2.7027027027027017,1.3513513513513544,0.3378378378378386,0.6756756756756772,1.689189189189193
2073,CDU,37,19,False,False,False,False,1,True,29,True,5.938833570412527,5.192034139402573,2.7382645803698438,7.912517780938828,2.1692745376955855,0.6223328591749677,5.067567567567572,1.3513513513513615,8.10810810810812,7.094594594594589,8.445945945945937,9.797297297297305
1802,Die Grünen,37,19,True,True,True,True,1,True,1,True,2.7027027027026946,3.1472261735419664,7.752489331436699,5.067567567567565,7.396870554765293,9.281650071123742,0.3378378378378457,0.0,1.689189189189193,3.0405405405405332,2.0270270270270174,2.0270270270270316
2079,Die Grünen,37,19,True,False,True,True,11,True,31,True,4.783072546230443,4.320768136557611,6.525604551920338,4.17852062588905,11.290896159317214,10.02844950213371,2.364864864864863,0.0,2.3648648648648702,2.702702702702709,0.675675675675663,1.3513513513513544
166,FDP,37,19,True,False,True,True,1,True,26,True,0.7823613086770962,3.982930298719765,15.931721194879088,3.1472261735419664,12.32219061166429,11.717638691322897,3.378378378378379,2.7027027027027017,5.405405405405411,1.689189189189193,2.364864864864863,7.770270270270274
703,DIE LINKE,37,19,True,False,False,False,15,True,15,True,4.658605974395456,6.525604551920338,6.98790896159317,0.5689900426742511,5.5832147937411065,5.583214793741114,4.391891891891902,9.459459459459467,10.472972972972975,6.081081081081074,10.810810810810807,12.837837837837839
3381,Die Grünen,37,19,True,True,True,True,5,True,13,True,2.471550497866282,12.162162162162161,2.258179231863437,1.4224751066856243,8.339260312944532,4.765291607396868,8.108108108108098,2.364864864864856,8.78378378378379,2.0270270270270316,6.418918918918905,8.78378378378379
3041,SPD,37,19,True,False,False,False,2,True,3,True,1.511379800853483,3.1827880512090942,4.356330014224753,0.5334281650071233,3.1472261735419664,2.7738264580369787,3.0405405405405403,7.770270270270274,11.148648648648646,9.459459459459467,12.5,13.513513513513516
1336,bunt.saar,37,19,True,False,True,False,11,True,31,True,4.2140825035561775,7.3790896159317185,4.12517780938834,0.8001422475106708,3.8940256045519206,4.125177809388333,4.054054054054042,10.810810810810807,14.189189189189179,6.418918918918919,14.189189189189193,8.445945945945937
4555,bunt.saar,37,19,True,False,True,True,8,True,24,True,4.516358463726888,5.245376955903275,9.921763869132292,0.37339971550497353,18.97226173541962,8.997155049786642,2.0270270270270316,1.0135135135135158,2.0270270270270316,0.3378378378378386,1.01351351351353,2.0270270270270174
4307,FDP,37,19,True,True,True,True,2,True,3,True,6.3122332859175,5.47652916073968,6.081081081081081,6.7745376955903325,3.662873399715501,12.019914651493593,1.689189189189193,0.6756756756756701,3.3783783783783754,1.0135135135135016,2.702702702702709,2.0270270270270316
378,CDU,37,19,True,False,True,True,1,True,17,True,0.5156472261735416,2.8982930298719793,1.7425320056899025,6.899004267425312,1.6714082503556114,2.6137980085348573,1.689189189189193,4.391891891891888,4.054054054054056,2.364864864864856,4.054054054054042,6.081081081081081
1251,CDU,37,19,False,False,False,False,1,True,28,True,2.916073968705547,2.187055476529153,4.534139402560456,3.44950213371267,3.876244665718353,5.174253200568991,0.0,1.0135135135135158,3.0405405405405332,3.0405405405405475,4.729729729729726,2.0270270270270316
4206,FDP,37,19,True,True,True,False,2,True,3,True,1.2802275960170775,1.1024182076813602,1.0846372688477928,6.1877667140825,0.2489331436699942,0.37339971550497353,2.0270270270270245,11.486486486486491,6.418918918918919,7.432432432432435,8.108108108108105,12.5
259,SPD,37,19,True,True,False,False,2,True,3,True,0.6401137980085352,0.3378378378378386,1.3157894736842124,1.8847795163584706,9.014935988620195,0.9601706970128063,2.7027027027026946,1.689189189189186,8.108108108108105,11.486486486486491,9.459459459459467,6.756756756756751
2802,Die Grünen,37,19,False,False,True,False,1,True,22,True,1.6002844950213486,4.142958748221901,8.997155049786635,8.143669985775247,13.264580369843529,8.143669985775247,0.6756756756756843,1.689189189189186,1.6891891891891788,2.364864864864863,3.0405405405405546,4.391891891891888
142,FDP,37,19,True,True,True,True,2,True,2,True,8.499288762446653,1.6002844950213415,10.348506401137982,4.42745376955903,13.815789473684212,14.313655761024187,2.0270270270270245,0.6756756756756772,3.552713678800501e-15,2.364864864864856,5.067567567567565,0.3378378378378386
