person_id,true_best_party,n_items_total,n_items_asked_50,obs_top1_50,obs_top3_50,pred_top1_50,pred_top3_50,n_items_top1,top1_reached,n_items_top3,top3_reached,obs_mae_50_CDU,obs_mae_50_DIE LINKE,obs_mae_50_Die Grünen,obs_mae_50_FDP,obs_mae_50_SPD,obs_mae_50_bunt.saar,pred_mae_50_CDU,pred_mae_50_DIE LINKE,pred_mae_50_Die Grünen,pred_mae_50_FDP,pred_mae_50_SPD,pred_mae_50_bunt.saar
118,CDU,37,19,True,False,True,False,1,True,10,True,3.0761024182076895,2.6671408250355597,5.014224751066855,8.872688477951627,7.645803698435273,7.147937411095306,1.6891891891892072,2.702702702702709,4.054054054054056,1.3513513513513473,4.729729729729726,1.3513513513513544
1588,FDP,37,19,True,False,True,False,17,True,12,True,5.7610241820768096,4.196301564722617,3.2183499288762505,3.9651493598862118,6.418918918918919,1.831436699857754,6.081081081081088,2.7027027027027017,3.7162162162162176,4.054054054054049,1.3513513513513473,1.0135135135135087
919,SPD,37,19,False,False,False,False,2,True,2,True,5.796586059743959,4.854196301564727,11.78876244665718,11.379800853485065,11.201991465149362,7.183499288762434,9.121621621621621,1.689189189189186,6.756756756756751,11.148648648648646,9.121621621621621,4.054054054054056
2723,CDU,37,19,True,True,True,False,2,True,5,True,1.3335704125177799,2.0981507823613086,8.285917496443822,1.5647226173541924,0.9068278805120897,2.916073968705547,2.702702702702709,4.729729729729733,0.6756756756756843,4.391891891891895,0.6756756756756772,1.0135135135135087
2630,CDU,37,19,True,False,True,True,4,True,11,True,3.342816500711244,2.5604551920341407,0.3911806543385552,4.729729729729726,2.6849217638691343,1.7780938833570374,2.702702702702709,4.391891891891888,1.3513513513513473,1.3513513513513615,3.378378378378379,5.4054054054054035
1106,FDP,37,19,False,True,False,False,1,True,2,True,3.5739687055476566,2.7560455192034183,5.494310099573255,2.4893314366998567,2.3293029871977353,1.795874822190612,5.067567567567565,5.743243243243242,0.3378378378378386,0.3378378378378386,2.0270270270270316,3.378378378378379
4764,FDP,37,19,True,True,True,True,11,True,2,True,8.197012802275957,2.9338549075391214,5.4409672830725455,6.418918918918919,4.000711237553347,6.472261735419636,0.6756756756756772,5.067567567567579,4.054054054054056,3.7162162162162247,2.702702702702709,4.391891891891902
3782,DIE LINKE,37,19,True,True,True,True,1,True,1,True,5.369843527738269,0.2844950213371291,2.916073968705547,3.8940256045519206,6.169985775248932,0.8357041251778057,1.3513513513513473,1.3513513513513473,4.054054054054056,0.6756756756756843,1.689189189189193,4.054054054054063
2758,Die Grünen,37,19,False,False,False,False,1,True,1,True,7.46799431009957,3.236130867709818,1.1735419630156514,1.653627311522051,3.698435277382636,4.427453769559023,2.0270270270270316,8.108108108108098,5.067567567567565,2.7027027027027017,6.081081081081095,6.756756756756758
1618,Die Grünen,37,19,False,False,True,False,18,True,10,True,0.2844950213371291,3.94736842105263,3.3250355618776624,0.5867709815078399,5.600995732574688,6.098862019914655,0.6756756756756772,0.3378378378378386,0.6756756756756701,1.3513513513513615,2.702702702702709,0.3378378378378386
4886,SPD,37,19,False,False,False,True,34,True,24,True,2.8449502133712556,6.258890469416791,4.729729729729726,12.997866287339967,8.036984352773821,5.672119487908951,0.3378378378378386,3.7162162162162176,4.729729729729726,3.7162162162162176,7.432432432432435,3.378378378378372
3260,Die Grünen,37,19,False,True,True,True,18,True,2,True,2.2048364153627347,2.8982930298719793,3.982930298719765,1.1557610241820626,0.8534850640113874,1.2980085348506378,1.013513513513523,0.6756756756756843,1.689189189189186,0.6756756756756701,1.3513513513513473,1.689189189189193
3339,CDU,37,19,False,False,True,False,1,True,26,True,1.0135135135135087,2.6137980085348573,4.356330014224753,0.9246088193456643,1.3157894736842124,3.307254623044102,1.3513513513513615,0.3378378378378386,1.0135135135135087,0.3378378378378244,1.3513513513513473,0.6756756756756772
