person_id,true_best_party,n_items_total,n_items_asked_50,obs_top1_50,obs_top3_50,pred_top1_50,pred_top3_50,n_items_top1,top1_reached,n_items_top3,top3_reached,obs_mae_50_AfD,obs_mae_50_CDU,obs_mae_50_Die Linke Halle,obs_mae_50_Die PARTEI,obs_mae_50_FDP,obs_mae_50_Freie Wähler,obs_mae_50_Grüne,obs_mae_50_MitBürger,obs_mae_50_SPD,obs_mae_50_Volt,obs_mae_50_dieBasis,pred_mae_50_AfD,pred_mae_50_CDU,pred_mae_50_Die Linke Halle,pred_mae_50_Die PARTEI,pred_mae_50_FDP,pred_mae_50_Freie Wähler,pred_mae_50_Grüne,pred_mae_50_MitBürger,pred_mae_50_SPD,pred_mae_50_Volt,pred_mae_50_dieBasis
2814,CDU,37,19,True,True,False,True,5,True,6,True,0.7823613086770962,0.7645803698435287,6.774537695590325,0.10668563300141898,0.5156472261735416,3.982930298719772,4.889758179231862,2.578236130867701,3.520625889046933,3.342816500711244,6.7745376955903325,0.3378378378378244,0.675675675675663,1.0135135135135158,1.3513513513513544,0.6756756756756772,2.0270270270270245,1.689189189189193,0.6756756756756843,0.3378378378378386,1.013513513513523,1.689189189189186
11386,dieBasis,37,19,True,True,True,True,3,True,3,True,1.369132290184929,1.9381223328591872,5.03200568990043,6.507823613086771,2.880512091038412,1.973684210526315,0.4445234708392647,2.7916073968705533,2.1337126600284506,3.1472261735419664,6.401137980085338,1.0135135135135016,1.3513513513513473,9.797297297297298,1.689189189189193,1.3513513513513686,2.7027027027026946,2.7027027027027017,1.689189189189186,6.756756756756758,4.391891891891888,5.067567567567565
3252,Volt,37,19,True,False,True,False,17,True,34,True,2.0981507823613086,1.7425320056899025,8.108108108108098,5.156472261735409,0.03556187766713492,2.115931721194869,2.7027027027026946,1.4935988620199083,6.845661450924595,1.262446657183503,1.0846372688477928,0.6756756756756701,3.0405405405405403,2.7027027027026946,1.0135135135135158,0.3378378378378386,0.6756756756756772,1.0135135135135158,1.3513513513513402,1.689189189189193,0.675675675675663,2.0270270270270245
4733,AfD,37,19,False,True,True,True,1,True,5,True,1.1557610241820697,4.356330014224753,0.3911806543385481,2.631578947368425,12.26884779516358,3.09388335704125,1.1379800853485094,0.5156472261735487,4.516358463726888,4.925320056899011,0.4445234708392718,2.702702702702709,1.0135135135135016,6.081081081081088,3.0405405405405403,3.7162162162162105,0.6756756756756772,5.743243243243242,4.054054054054056,4.054054054054056,5.743243243243249,3.0405405405405332
20204,Die Linke Halle,37,19,True,False,True,False,7,True,7,True,0.2844950213371291,4.231863442389766,7.112375533428178,7.432432432432435,0.6578947368421026,0.0889046941678373,4.960881934566139,5.512091038406837,4.818634423897564,7.539118065433861,6.578947368421048,1.3513513513513473,1.0135135135135087,3.7162162162162105,4.054054054054056,3.378378378378379,0.0,4.391891891891881,2.3648648648648702,3.378378378378372,6.081081081081088,1.3513513513513473
13185,AfD,37,19,True,False,True,False,18,True,13,True,0.5334281650071233,1.7069701280227676,3.94736842105263,2.916073968705547,1.6358463726884764,2.0981507823613086,3.378378378378379,2.0270270270270316,3.840682788051211,3.876244665718353,2.2403982930298696,2.0270270270270316,1.689189189189193,4.054054054054056,3.7162162162162176,3.0405405405405332,2.364864864864856,0.6756756756756772,2.0270270270270174,4.054054054054049,0.0,0.6756756756756772
12657,Die Linke Halle,37,19,True,True,True,True,1,True,15,True,1.2980085348506378,3.0761024182076824,1.226884779516368,0.9246088193456643,7.147937411095306,1.795874822190612,1.653627311522058,3.200568990042683,1.0490753911806507,1.3513513513513544,1.0312944523470762,0.3378378378378386,0.3378378378378457,1.689189189189193,3.0405405405405475,1.689189189189186,1.0135135135135158,0.3378378378378386,0.6756756756756772,0.6756756756756772,0.6756756756756772,1.3513513513513544
3597,AfD,37,19,False,False,True,False,1,True,26,True,2.275960170697026,5.45874822190612,8.481507823613086,10.50853485064011,7.46799431009957,1.3335704125177799,9.797297297297298,5.1209103840682815,0.4978662873399671,6.774537695590325,10.455192034139415,3.0405405405405403,1.0135135135135087,8.445945945945951,4.729729729729726,0.6756756756756772,4.391891891891895,9.797297297297298,7.0945945945945965,7.0945945945945965,9.459459459459467,2.0270270270270316
7436,FDP,37,19,False,True,False,False,1,True,1,True,3.2894736842105345,4.196301564722617,0.46230440967283215,3.0405405405405403,0.46230440967282505,2.080369843527741,1.4935988620199083,4.000711237553347,0.6578947368421026,0.017780938833574567,2.5426742532005733,0.0,1.3513513513513686,1.3513513513513473,2.364864864864863,3.0405405405405332,0.0,1.3513513513513544,0.0,0.3378378378378386,0.6756756756756772,2.0270270270270245
2687,dieBasis,37,19,False,True,False,False,37,False,12,True,1.618065433854916,3.8762446657183602,1.475817923186348,2.916073968705547,0.9779516358463738,2.987197724039838,0.053342816500716594,1.973684210526315,1.9381223328591801,1.3335704125177799,1.4046941678520568,0.3378378378378315,0.6756756756756772,3.378378378378379,1.0135135135135087,1.689189189189186,4.7297297297297405,3.378378378378379,3.7162162162162176,2.7027027027026946,4.729729729729733,4.054054054054049
15342,AfD,37,19,True,False,True,True,8,True,8,True,1.7247510668563137,0.9957325746799413,9.157183499288756,3.022759601706966,3.662873399715508,1.2802275960170775,1.3157894736842124,2.080369843527734,11.36201991465149,1.724751066856328,3.271692745376953,2.7027027027026946,1.3513513513513544,7.432432432432428,2.0270270270270316,0.6756756756756772,1.3513513513513544,6.081081081081081,5.067567567567572,6.756756756756758,5.743243243243242,3.7162162162162247
13482,CDU,37,19,False,False,True,False,21,True,36,True,2.293741109530579,3.4317211948790884,7.165718349928888,1.8136557610241795,5.672119487908951,9.921763869132292,9.921763869132292,4.711948790896159,1.795874822190612,7.23684210526315,4.107396870554773,1.689189189189186,1.689189189189193,1.6891891891892001,1.0135135135135087,0.6756756756756772,1.689189189189193,1.013513513513523,0.3378378378378386,0.3378378378378457,0.3378378378378386,2.364864864864856
9247,Freie Wähler,37,19,False,False,False,True,23,True,29,True,3.1116642958748244,0.49786628733995997,3.840682788051211,7.805832147937409,1.7425320056899025,6.365576102418217,2.9338549075391214,1.5291607396870575,6.952347083926043,4.374110953058313,4.302987197724036,5.067567567567565,3.378378378378372,1.0135135135135158,6.081081081081081,1.3513513513513473,3.378378378378393,0.6756756756756701,0.0,1.0135135135135158,0.0,2.0270270270270316
