person_id,true_best_party,n_items_total,n_items_asked_50,obs_top1_50,obs_top3_50,pred_top1_50,pred_top3_50,n_items_top1,top1_reached,n_items_top3,top3_reached,obs_mae_50_AfD,obs_mae_50_CDU,obs_mae_50_Die Linke Halle,obs_mae_50_Die PARTEI,obs_mae_50_FDP,obs_mae_50_Freie Wähler,obs_mae_50_Grüne,obs_mae_50_MitBürger,obs_mae_50_SPD,obs_mae_50_Volt,obs_mae_50_dieBasis,pred_mae_50_AfD,pred_mae_50_CDU,pred_mae_50_Die Linke Halle,pred_mae_50_Die PARTEI,pred_mae_50_FDP,pred_mae_50_Freie Wähler,pred_mae_50_Grüne,pred_mae_50_MitBürger,pred_mae_50_SPD,pred_mae_50_Volt,pred_mae_50_dieBasis
18711,AfD,37,19,False,False,True,True,25,True,21,True,10.099573257468002,2.400426742531998,0.2489331436699871,6.098862019914648,7.912517780938828,4.587482219061165,1.2446657183499283,1.3513513513513473,7.254623044096725,7.183499288762441,2.293741109530579,2.0270270270270174,3.0405405405405475,4.391891891891888,0.6756756756756772,2.364864864864856,2.7027027027027017,2.364864864864863,1.3513513513513473,4.391891891891895,4.729729729729726,3.0405405405405332
3202,Volt,37,19,False,True,True,False,7,True,6,True,3.413940256045514,4.409672830725462,3.09388335704125,3.1294452347083848,7.307965860597427,0.4978662873399742,2.7560455192034112,0.604551920341386,5.654338549075405,1.9203413940255984,0.6756756756756772,9.797297297297291,7.432432432432428,8.108108108108112,0.6756756756756772,6.756756756756744,5.067567567567565,8.445945945945937,6.756756756756758,5.067567567567565,6.081081081081095,8.445945945945944
1605,FDP,37,19,True,True,False,False,9,True,9,True,10.775248933143672,2.916073968705547,3.7517780938833525,2.3826458036984377,2.3115220483641536,1.618065433854909,2.2403982930298625,3.058321479374115,8.499288762446653,4.87197724039828,6.116642958748223,3.0405405405405475,2.0270270270270316,2.0270270270270316,0.0,1.0135135135135158,1.0135135135135087,0.6756756756756701,1.0135135135135087,2.0270270270270245,0.6756756756756843,2.0270270270270316
20178,dieBasis,37,19,False,False,True,False,22,True,32,True,10.50853485064011,8.108108108108105,0.9779516358463738,4.17852062588905,9.40611664295875,2.4182076813655797,5.8321479374110865,0.6401137980085352,5.387624466571836,0.5689900426742511,4.640825035561882,1.689189189189193,1.0135135135135087,5.067567567567565,2.7027027027026946,1.0135135135135087,0.0,5.743243243243242,0.3378378378378315,1.689189189189186,4.729729729729726,3.378378378378379
7579,FDP,37,19,True,False,True,True,6,True,25,True,11.059743954480808,5.7254623044096675,0.16002844950212847,5.209815078236126,2.0803698435277482,9.388335704125183,1.013513513513523,1.0668563300142253,0.604551920341386,0.7467994310099613,5.245376955903275,0.6756756756756772,0.3378378378378386,0.6756756756756772,3.7162162162162105,2.3648648648648702,0.3378378378378386,1.3513513513513402,0.6756756756756772,0.3378378378378386,1.0135135135135087,3.0405405405405475
2693,SPD,37,19,False,False,False,False,1,True,31,True,0.8712660028449548,1.0846372688477999,6.169985775248925,1.9203413940255984,0.8890469416785152,5.974395448079662,1.3157894736842124,1.1379800853485094,7.361308677098144,4.658605974395449,3.44950213371267,3.0405405405405475,4.391891891891895,1.3513513513513544,5.067567567567565,3.7162162162162176,1.689189189189193,3.0405405405405332,4.391891891891895,2.0270270270270316,3.0405405405405332,1.689189189189193
23919,SPD,37,19,True,False,True,False,2,True,34,True,2.916073968705547,1.5647226173541924,5.8321479374110865,3.7162162162162176,5.156472261735409,2.86273115220483,6.1877667140825,2.507112375533424,2.951635846372696,7.556899004267429,7.343527738264584,1.0135135135135087,0.0,1.3513513513513473,0.3378378378378386,0.3378378378378386,1.3513513513513473,0.3378378378378386,1.0135135135135087,2.702702702702709,1.3513513513513473,1.0135135135135158
19711,AfD,37,19,True,False,True,True,3,True,36,True,4.87197724039828,5.316500711237566,1.6714082503556327,4.2140825035561775,7.645803698435266,3.236130867709811,4.747510668563294,1.1024182076813673,3.4672830725462305,2.5248933143669987,2.4537695590327075,0.675675675675663,1.3513513513513402,2.0270270270270174,2.0270270270270316,1.3513513513513686,0.6756756756756701,1.689189189189186,0.6756756756756701,1.689189189189193,1.689189189189186,0.3378378378378386
6146,Die Linke Halle,37,19,True,True,True,True,1,True,8,True,0.03556187766713492,1.1913229018492189,9.317211948790913,6.13442389758179,2.6849217638691343,10.02844950213371,6.490042674253203,10.188477951635846,10.472972972972968,13.673541963015644,2.5960170697012828,2.7027027027026946,2.3648648648648702,0.3378378378378386,1.3513513513513544,2.364864864864863,1.3513513513513544,1.3513513513513402,1.689189189189186,2.0270270270270316,1.0135135135135158,2.364864864864863
12960,Die Linke Halle,37,19,True,True,True,True,1,True,15,True,1.8492176386913215,2.7382645803698367,6.614509246088204,0.3911806543385552,3.342816500711244,13.620199146514935,5.049786628733997,10.739687055476516,8.570412517780937,11.16642958748222,9.317211948790892,0.33783783783783505,0.6756756756756843,0.6756756756756772,0.6756756756756772,0.6756756756756701,0.675675675675663,0.6756756756756914,0.675675675675663,0.6756756756756772,0.6756756756756772,0.3378378378378315
17552,AfD,37,19,False,True,True,True,37,False,17,True,14.88264580369843,9.921763869132299,1.8847795163584635,3.058321479374108,9.903982930298717,6.863442389758184,0.5334281650071091,3.5028449502133725,2.809388335704128,7.770270270270267,3.02275960170698,1.0135135135135016,0.3378378378378386,0.6756756756756701,4.054054054054056,1.3513513513513473,0.3378378378378386,3.378378378378386,0.3378378378378386,0.6756756756756772,1.3513513513513544,1.3513513513513473
12713,AfD,37,19,False,True,True,True,27,True,1,True,15.522759601706973,9.086059743954486,5.796586059743955,5.1209103840682815,7.82361308677099,4.463015647226172,7.290184921763874,5.014224751066855,1.3869132290184893,1.6002844950213415,8.837126600284492,0.0,0.3378378378378386,1.3513513513513509,1.3513513513513544,1.3513513513513686,0.3378378378378386,2.3648648648648702,2.364864864864863,1.3513513513513473,1.3513513513513544,0.6756756756756772
24256,Volt,37,19,True,False,True,False,5,True,36,True,0.604551920341386,0.053342816500716594,4.87197724039828,3.165007112375534,3.2539118065433854,0.4800853485063925,1.8136557610241795,5.8677098150782285,5.1920341394025655,3.6450924608819406,9.299431009957331,5.067567567567572,1.0135135135135087,2.702702702702709,4.054054054054063,2.3648648648648702,3.7162162162162247,5.4054054054054035,6.418918918918905,0.675675675675663,2.0270270270270174,2.0270270270270245
8536,AfD,37,19,True,True,True,True,1,True,14,True,12.980085348506393,9.708392603129454,9.88620199146515,4.054054054054049,6.134423897581783,2.809388335704128,1.6358463726884764,1.9559032716927476,0.26671408250356166,2.720483641536269,5.52987197724039,2.3648648648648702,0.6756756756756772,1.0135135135135087,2.3648648648648702,1.6891891891892072,1.0135135135135087,1.3513513513513544,1.3513513513513544,2.7027027027027017,1.0135135135135158,0.675675675675663
4101,AfD,37,19,False,False,True,True,1,True,36,True,2.6137980085348573,2.5426742532005733,4.67638691322901,6.578947368421048,6.1877667140825,0.7823613086770962,2.4182076813655797,5.903271692745371,6.063300142247513,4.783072546230443,2.5426742532005733,4.054054054054049,4.054054054054056,1.3513513513513473,4.391891891891895,1.689189189189193,0.3378378378378386,0.0,0.0,1.0135135135135087,1.0135135135135158,1.689189189189193
10433,Volt,37,19,True,False,True,False,3,True,27,True,4.018492176386914,1.2802275960170775,9.014935988620195,6.3122332859175,1.6002844950213486,3.165007112375534,5.156472261735402,1.4758179231863409,4.818634423897564,4.231863442389752,7.46799431009957,1.0135135135135158,0.0,3.7162162162162247,2.3648648648648702,0.3378378378378457,1.3513513513513544,2.702702702702709,4.729729729729726,2.702702702702709,3.7162162162162247,0.3378378378378386
24070,Volt,37,19,False,False,True,False,9,True,8,True,9.886201991465143,6.614509246088197,1.546941678520632,4.19630156472261,7.503556187766712,0.9423897581792318,1.973684210526315,0.053342816500716594,0.32005689900426404,1.4224751066856385,8.570412517780944,6.756756756756765,6.756756756756751,5.405405405405411,0.0,4.054054054054042,3.7162162162162105,5.743243243243242,3.378378378378379,4.391891891891902,4.729729729729726,3.7162162162162176
7703,AfD,37,19,False,False,True,True,36,True,18,True,7.4146514935988606,4.107396870554766,5.95661450924608,1.3691322901849219,6.098862019914655,8.445945945945944,4.9075391180654435,3.627311522048373,2.8271692745377024,4.800853485064017,5.032005689900423,2.0270270270270316,2.0270270270270174,6.081081081081074,2.0270270270270316,3.7162162162162247,4.391891891891888,4.054054054054056,3.0405405405405332,3.7162162162162176,4.054054054054056,3.378378378378372
2676,FDP,37,19,True,False,True,True,13,True,30,True,9.263869132290182,3.0049786628734054,3.0761024182076824,1.2624466571834958,4.445234708392604,0.07112375533427695,4.42745376955903,0.8179231863442382,1.6358463726884764,3.2539118065433854,5.28093883357041,1.3513513513513544,1.0135135135135158,0.0,3.378378378378379,3.0405405405405475,1.3513513513513615,0.3378378378378386,0.0,0.3378378378378386,0.6756756756756843,1.689189189189186
