person_id,true_best_party,n_items_total,n_items_asked_50,obs_top1_50,obs_top3_50,pred_top1_50,pred_top3_50,n_items_top1,top1_reached,n_items_top3,top3_reached,obs_mae_50_AfD,obs_mae_50_CDU,obs_mae_50_Die Linke Halle,obs_mae_50_Die PARTEI,obs_mae_50_FDP,obs_mae_50_Freie Wähler,obs_mae_50_Grüne,obs_mae_50_MitBürger,obs_mae_50_SPD,obs_mae_50_Volt,obs_mae_50_dieBasis,pred_mae_50_AfD,pred_mae_50_CDU,pred_mae_50_Die Linke Halle,pred_mae_50_Die PARTEI,pred_mae_50_FDP,pred_mae_50_Freie Wähler,pred_mae_50_Grüne,pred_mae_50_MitBürger,pred_mae_50_SPD,pred_mae_50_Volt,pred_mae_50_dieBasis
18711,AfD,37,19,True,False,True,False,15,True,9,True,0.4267425320056759,1.5469416785206391,10.775248933143672,12.32219061166429,3.307254623044095,7.254623044096725,14.544807965860599,13.122332859174968,7.21906116642959,12.553342816500717,0.32005689900426404,12.162162162162147,9.121621621621628,8.108108108108105,6.418918918918919,7.432432432432421,5.4054054054054035,10.135135135135137,4.729729729729726,6.081081081081081,7.432432432432428,10.135135135135144
3202,Volt,37,19,True,True,True,False,13,True,17,True,7.112375533428171,6.7745376955903325,7.04125177809388,3.449502133712656,3.2183499288762576,5.423186344238978,3.165007112375534,4.551920341394016,2.3648648648648702,0.7112375533428121,9.886201991465143,6.756756756756758,6.418918918918912,5.4054054054054035,2.702702702702709,5.067567567567558,1.689189189189193,7.7702702702702595,6.081081081081095,2.364864864864856,6.756756756756758,5.067567567567565
1605,FDP,37,19,False,False,False,False,26,True,26,True,3.0405405405405403,0.37339971550497353,2.1692745376955855,4.19630156472261,2.3115220483641536,1.0135135135135087,3.6806543385490826,3.520625889046933,0.7112375533428192,0.3911806543385552,1.7780938833570303,8.108108108108105,2.364864864864863,1.013513513513523,0.6756756756756772,2.0270270270270316,2.0270270270270174,0.3378378378378244,1.689189189189186,3.7162162162162247,2.702702702702709,2.0270270270270245
20178,dieBasis,37,19,False,False,False,True,24,True,9,True,1.9914651493598896,1.1024182076813602,4.925320056899011,4.836415362731152,3.09388335704125,8.108108108108105,5.8321479374110865,12.482219061166425,10.401849217638699,7.805832147937409,1.3513513513513473,10.472972972972983,8.445945945945958,6.418918918918919,6.756756756756758,9.121621621621628,0.3378378378378315,8.783783783783782,0.6756756756756701,2.0270270270270316,4.054054054054056,3.7162162162162176
7579,FDP,37,19,False,True,False,True,2,True,12,True,1.4402560455191917,0.1955903271692847,11.024182076813652,4.658605974395449,5.156472261735402,1.4935988620199083,10.224039829302988,8.30369843527739,9.157183499288756,7.805832147937409,0.017780938833574567,10.472972972972968,7.0945945945945965,8.783783783783782,8.783783783783782,4.7297297297297405,8.108108108108105,9.797297297297291,9.797297297297298,5.067567567567572,9.121621621621621,6.418918918918919
2693,SPD,37,19,False,False,False,True,1,True,28,True,7.02347083926032,3.7162162162162176,0.40896159317212266,7.183499288762434,0.23115220483641252,7.841394025604544,2.631578947368425,7.0590327169274545,2.0981507823613015,0.6045519203413932,5.1031294452347,3.7162162162162105,1.689189189189186,5.405405405405411,5.067567567567565,0.3378378378378386,7.0945945945945965,3.378378378378372,7.432432432432435,0.6756756756756772,4.729729729729726,3.378378378378393
23919,SPD,37,19,False,False,False,False,20,True,21,True,1.689189189189186,2.3826458036984377,1.404694167852064,3.520625889046933,0.10668563300142608,1.7425320056899025,0.3911806543385552,0.5334281650071233,0.9779516358463738,1.6358463726884764,3.1827880512090942,4.729729729729726,3.378378378378372,5.405405405405411,5.4054054054054035,1.0135135135135087,3.0405405405405403,5.743243243243242,4.054054054054049,4.7297297297297405,5.743243243243242,4.729729729729733
19711,AfD,37,19,True,False,True,False,5,True,24,True,9.477240398293027,8.60597439544808,15.433854907539107,4.2140825035561775,6.330014224751068,7.290184921763881,13.958036984352773,13.371266002844955,11.664295874822194,9.975106685633001,13.63798008534851,4.391891891891902,3.378378378378372,5.405405405405418,5.067567567567572,5.4054054054054035,1.3513513513513473,3.7162162162162176,5.405405405405411,2.0270270270270245,4.391891891891902,2.3648648648648702
6146,Die Linke Halle,37,19,True,True,True,True,1,True,6,True,17.7275960170697,13.033428165007116,2.0803698435277482,1.5291607396870575,7.948079658605984,4.107396870554766,0.0889046941678373,7.556899004267429,5.209815078236119,5.778805120910384,11.148648648648653,4.391891891891888,4.391891891891895,7.7702702702702595,0.6756756756756772,5.743243243243235,3.0405405405405475,6.418918918918905,7.770270270270274,3.7162162162162247,5.743243243243242,4.391891891891888
12960,Die Linke Halle,37,19,True,True,True,True,1,True,7,True,20.27027027027027,12.606685633001419,9.246088193456615,5.654338549075405,9.921763869132299,8.3570412517781,10.312944523470847,13.371266002844948,5.938833570412527,12.482219061166425,13.922475106685624,0.6756756756756772,0.3378378378378457,0.6756756756756772,0.675675675675663,0.6756756756756701,0.675675675675663,0.675675675675663,0.6756756756756914,0.6756756756756772,0.6756756756756772,0.3378378378378457
