person_id,true_best_party,n_train,n_items_asked_50,obs_top1,obs_top3,obs_mae_mean,pred_top1,pred_top3,pred_mae_mean,obs_mae_CDU,obs_mae_DIE LINKE,obs_mae_Die Grünen,obs_mae_FDP,obs_mae_SPD,obs_mae_bunt.saar,pred_mae_CDU,pred_mae_DIE LINKE,pred_mae_Die Grünen,pred_mae_FDP,pred_mae_SPD,pred_mae_bunt.saar
118,CDU,300,19,1.0,0.0,4.314841156946422,1.0,0.0,3.434684684684689,3.0761024182076895,0.03556187766713492,0.2489331436699942,15.451635846372689,1.0668563300142253,6.009957325746797,1.01351351351353,4.054054054054056,2.364864864864863,3.7162162162162176,3.0405405405405475,6.418918918918919
1588,FDP,300,19,1.0,1.0,4.059981033665244,1.0,0.0,1.2387387387387392,5.1031294452347,7.485775248933145,0.5867709815078257,8.570412517780944,2.471550497866289,0.142247510668561,2.0270270270270316,0.3378378378378386,1.0135135135135158,0.0,3.0405405405405403,1.0135135135135087
919,SPD,300,19,0.0,0.0,5.233522996680889,1.0,0.0,1.1824324324324327,6.703413940256041,1.5647226173541924,7.183499288762434,1.511379800853483,8.570412517780944,5.867709815078236,0.6756756756756701,2.0270270270270316,2.0270270270270316,1.0135135135135087,0.3378378378378315,1.013513513513523
2723,CDU,300,19,1.0,0.0,3.3013276434329106,1.0,0.0,4.166666666666668,3.9651493598862118,1.191322901849226,4.996443812233295,1.0668563300142253,3.698435277382643,4.889758179231862,6.418918918918919,1.689189189189186,2.702702702702709,6.418918918918919,2.0270270270270245,5.743243243243249
2630,CDU,300,19,1.0,1.0,2.590090090090088,1.0,1.0,3.209459459459461,4.551920341394016,3.2183499288762505,2.2403982930298625,0.12446657183499354,2.578236130867701,2.8271692745377024,4.729729729729726,2.364864864864863,1.689189189189193,8.445945945945951,0.0,2.0270270270270316
1106,FDP,300,19,1.0,1.0,2.4715504978662857,1.0,1.0,1.8581081081081063,2.3470839260312957,3.8229018492176365,1.0846372688477928,5.778805120910384,0.3022759601706895,1.4935988620199154,0.0,0.3378378378378315,3.378378378378379,0.6756756756756772,3.378378378378372,3.378378378378379
4764,FDP,300,19,1.0,0.0,4.338549075391177,1.0,1.0,0.957207207207207,8.197012802275957,5.618776671408241,5.743243243243242,4.445234708392604,1.2624466571834958,0.7645803698435216,2.3648648648648702,0.0,0.3378378378378386,1.0135135135135158,2.0270270270270174,0.0
3782,DIE LINKE,300,19,0.0,1.0,5.032005689900426,0.0,0.0,5.574324324324324,10.419630156472259,2.258179231863444,6.863442389758184,3.342816500711244,6.827880512091035,0.4800853485063925,15.202702702702702,3.378378378378379,0.6756756756756772,10.135135135135137,2.364864864864863,1.689189189189186
2758,Die Grünen,300,19,0.0,0.0,8.946775723091514,1.0,1.0,1.3513513513513498,4.836415362731152,4.658605974395449,13.015647226173549,4.925320056899011,14.22475106685632,12.019914651493607,1.689189189189186,0.3378378378378386,1.0135135135135016,2.0270270270270245,2.3648648648648702,0.6756756756756772
1618,Die Grünen,300,19,1.0,0.0,5.743243243243246,0.0,0.0,2.195945945945951,4.231863442389766,5.921052631578952,4.640825035561882,5.992176386913222,8.232574679943106,5.4409672830725455,0.6756756756756772,2.3648648648648702,3.7162162162162176,1.6891891891892001,4.391891891891895,0.3378378378378457
4886,SPD,300,19,0.0,1.0,3.7132527264106243,0.0,1.0,2.533783783783786,8.766002844950215,0.9957325746799413,4.071834992887624,5.423186344238985,1.4580369843527734,1.5647226173542066,3.378378378378379,1.689189189189193,0.3378378378378244,2.702702702702709,1.3513513513513544,5.743243243243256
3260,Die Grünen,300,19,1.0,0.0,3.271692745376953,1.0,1.0,2.590090090090088,6.152204836415365,4.2140825035561775,0.6934566145092447,3.1294452347083777,4.800853485064017,0.6401137980085352,1.0135135135135087,2.3648648648648702,4.391891891891895,0.3378378378378244,4.054054054054056,3.378378378378372
3339,CDU,300,19,0.0,0.0,3.9770033191085816,0.0,1.0,1.126126126126124,6.276671408250358,4.587482219061172,1.5647226173541924,0.26671408250354744,3.94736842105263,7.21906116642959,0.3378378378378315,1.3513513513513544,2.364864864864863,0.3378378378378386,1.3513513513513473,1.0135135135135087
2972,DIE LINKE,300,19,0.0,0.0,6.993835941204366,0.0,0.0,2.0833333333333357,1.8847795163584706,9.58392603129446,7.21906116642959,0.08890469416784441,14.046941678520625,9.139402560455203,1.0135135135135087,3.7162162162162247,1.689189189189193,1.689189189189193,1.689189189189186,2.702702702702709
989,FDP,300,19,1.0,1.0,4.282242769084872,1.0,1.0,2.308558558558557,8.108108108108105,7.272403982930296,5.689900426742533,4.125177809388333,0.07112375533427695,0.4267425320056901,3.378378378378386,0.3378378378378315,2.7027027027027017,1.6891891891891788,3.378378378378379,2.364864864864863
2141,SPD,300,19,0.0,0.0,4.87790422000949,1.0,0.0,1.632882882882883,2.151493598862025,3.9118065433855023,4.249644381223341,0.2489331436699942,8.926031294452343,9.77951635846373,2.7027027027027017,0.0,0.3378378378378386,4.054054054054049,0.0,2.702702702702709
